Team,Elo Rating
Argentina,2038.1
Spain,2020.3
France,1984.3
Brazil,1938.5
Colombia,1925.9
Portugal,1925.4
Netherlands,1894.5
England,1892.8
Ecuador,1890.9
Germany,1883.7
Croatia,1883.2
Japan,1877.0
Italy,1871.3
Morocco,1871.1
Uruguay,1870.9
Senegal,1854.1
Turkey,1844.3
Belgium,1844.1
Denmark,1838.4
Mexico,1826.0
Switzerland,1823.9
Paraguay,1820.7
Austria,1816.1
Algeria,1810.9
Norway,1809.4
Australia,1807.7
Iran,1806.3
Ukraine,1799.9
South Korea,1791.5
Canada,1781.5
Serbia,1777.3
Russia,1769.8
Yugoslavia,1767.0
Uzbekistan,1764.1
Panama,1761.5
Nigeria,1755.6
Venezuela,1755.4
Basque Country,1755.2
Sweden,1754.8
Egypt,1751.4
Chile,1750.4
Jersey,1749.5
Poland,1746.6
Ivory Coast,1744.6
Czech Republic,1735.6
United States,1733.1
Greece,1730.9
Czechoslovakia,1727.6
Slovenia,1727.0
Tunisia,1725.4
Scotland,1723.5
Hungary,1719.7
Iraq,1715.7
German DR,1713.9
Jordan,1712.9
DR Congo,1709.1
Peru,1703.1
Wales,1692.1
Guernsey,1682.1
Kosovo,1682.0
Costa Rica,1678.8
Republic of Ireland,1675.2
Slovakia,1671.9
Mali,1671.6
New Zealand,1665.4
Cameroon,1664.3
Saudi Arabia,1657.8
Haiti,1656.2
Cape Verde,1655.2
Isle of Man,1652.7
Bolivia,1647.9
Burkina Faso,1647.2
Catalonia,1641.3
Ynys Môn,1641.3
Georgia,1640.9
Israel,1638.6
Jamaica,1638.1
Albania,1635.4
Honduras,1632.5
Bosnia and Herzegovina,1630.0
South Africa,1629.0
Romania,1628.7
Padania,1628.3
Occitania,1623.3
Isle of Wight,1613.6
United Arab Emirates,1611.4
Northern Cyprus,1611.4
Iceland,1609.9
Northern Ireland,1603.0
Ghana,1602.8
Guatemala,1596.3
North Macedonia,1595.6
Andalusia,1592.7
Iraqi Kurdistan,1586.8
Oman,1584.9
Abkhazia,1584.0
Finland,1581.6
Kernow,1578.7
County of Nice,1571.1
Belarus,1568.7
Qatar,1568.5
Rhodes,1567.0
Kárpátalja,1565.5
Syria,1563.6
Réunion,1560.7
Tamil Eelam,1557.5
Ellan Vannin,1556.6
Angola,1555.3
Curaçao,1555.1
Guinea,1554.7
Palestine,1550.5
Kurdistan,1549.9
Corsica,1548.8
New Caledonia,1548.3
Bulgaria,1547.6
Benin,1545.8
Yorkshire,1543.9
Suriname,1541.4
Panjab,1541.2
Arameans Suryoye,1537.3
Libya,1532.6
Galicia,1531.3
Artsakh,1529.6
Maule Sur,1528.7
Cascadia,1528.7
Zambia,1528.2
Menorca,1527.5
Chameria,1521.6
Trinidad and Tobago,1520.8
Asturias,1520.3
China PR,1520.2
Gabon,1519.8
Gambia,1518.6
Thailand,1517.3
Bahrain,1517.3
Surrey,1517.3
Biafra,1516.3
Zanzibar,1516.0
Crimea,1515.2
North Korea,1514.2
Donetsk PR,1513.7
Quebec,1512.9
Brittany,1510.5
Parishes of Jersey,1510.0
Franconia,1509.8
Felvidék,1509.6
Canary Islands,1508.4
Tahiti,1507.1
Elba Island,1506.8
Sealand,1506.7
Montenegro,1503.9
Uganda,1503.6
Central Spain,1500.8
Mapuche,1500.6
Matabeleland,1499.9
Monaco,1497.7
Délvidék,1496.3
United Koreans in Japan,1495.1
Saugeais,1494.3
Luhansk PR,1493.5
Vietnam,1491.4
Madagascar,1491.3
El Salvador,1490.9
Malaysia,1489.9
Cilento,1489.5
Guadeloupe,1489.1
Western Armenia,1488.2
Silesia,1488.0
Mozambique,1487.7
Somaliland,1487.1
Kenya,1485.6
Ryūkyū,1484.6
Yoruba Nation,1484.4
South Ossetia,1484.0
Madrid,1484.0
Shetland,1483.9
Sudan,1480.8
Kazakhstan,1480.6
East Turkestan,1480.6
West Papua,1480.3
Seborga,1480.3
Åland Islands,1480.0
Hmong,1479.9
Guyana,1477.3
Niue,1476.4
Chechnya,1475.6
Togo,1475.5
South Yemen,1474.8
Romani people,1473.8
Kabylia,1472.1
Zimbabwe,1471.6
Aymara,1470.7
Comoros,1470.2
Sierra Leone,1469.8
Gozo,1468.7
Martinique,1467.9
North Vietnam,1467.2
Niger,1467.2
Kuwait,1466.3
Republic of St. Pauli,1464.8
Equatorial Guinea,1464.0
Székely Land,1463.4
Papua New Guinea,1462.7
Ticino,1462.6
Western Isles,1462.4
Greenland,1458.9
Găgăuzia,1457.8
Nicaragua,1457.8
Sápmi,1457.7
Palau,1455.4
Fiji,1455.3
Western Sahara,1454.7
Lebanon,1452.2
Mauritania,1451.3
Two Sicilies,1450.0
Manchukuo,1449.6
Provence,1447.8
Marshall Islands,1447.2
Namibia,1446.8
Dominican Republic,1445.5
Rwanda,1445.4
Tajikistan,1445.3
Mayotte,1442.8
Sark,1440.9
Indonesia,1440.3
Armenia,1440.2
Saarland,1439.2
Malawi,1437.1
Vanuatu,1436.7
Estonia,1431.7
Luxembourg,1431.7
Cuba,1430.7
Kyrgyzstan,1429.2
Ambazonia,1428.7
Vatican City,1428.7
French Guiana,1424.0
Orkney,1422.3
Burundi,1421.4
Saint Barthélemy,1421.4
Faroe Islands,1421.2
Micronesia,1421.1
Botswana,1420.9
Gotland,1420.4
Azerbaijan,1419.8
Western Australia,1415.9
Raetia,1415.6
Yemen DPR,1414.9
Lesotho,1413.0
Chagos Islands,1412.7
Central African Republic,1411.2
Ethiopia,1409.3
Darfur,1407.2
Tanzania,1403.3
Saint Helena,1402.4
Liberia,1401.6
Saint Pierre and Miquelon,1399.6
Solomon Islands,1399.0
Turkmenistan,1398.8
Hitra,1398.1
Barawa,1398.0
Vietnam Republic,1393.6
Saint Vincent and the Grenadines,1392.2
Cyprus,1380.3
Guinea-Bissau,1379.0
Kiribati,1372.4
Puerto Rico,1372.2
Sint Maarten,1369.1
Saare County,1364.2
Lithuania,1363.1
Latvia,1363.0
Malta,1362.5
Congo,1360.4
Eswatini,1359.5
Wallis Islands and Futuna,1358.6
Bermuda,1355.6
Philippines,1347.3
Saint Martin,1340.4
Moldova,1337.5
Yemen,1334.7
Hong Kong,1334.5
Tibet,1328.0
Saint Kitts and Nevis,1327.5
Belize,1325.0
Singapore,1324.3
Tuvalu,1319.3
Grenada,1315.5
Montserrat,1312.8
Samoa,1312.7
South Sudan,1310.9
Falkland Islands,1304.7
Saint Lucia,1304.0
India,1296.8
Chad,1293.5
Frøya,1293.4
Cook Islands,1280.2
Afghanistan,1278.9
Aruba,1269.4
Bonaire,1267.4
Eritrea,1257.8
Mauritius,1252.4
Dominica,1249.0
São Tomé and Príncipe,1247.1
Barbados,1224.6
Antigua and Barbuda,1218.4
Nepal,1206.6
Turks and Caicos Islands,1204.5
Myanmar,1203.2
Tonga,1198.8
Gibraltar,1198.1
Bangladesh,1193.3
Andorra,1184.4
Taiwan,1184.0
Cayman Islands,1181.0
Northern Mariana Islands,1163.8
British Virgin Islands,1157.6
Somalia,1153.0
Djibouti,1148.7
Alderney,1146.5
Maldives,1143.1
American Samoa,1140.2
Bahamas,1134.0
Guam,1125.5
United States Virgin Islands,1124.9
Cambodia,1111.8
Mongolia,1111.4
Pakistan,1110.3
Seychelles,1110.0
Liechtenstein,1109.4
Sri Lanka,1107.1
Anguilla,1073.2
Laos,1049.1
Timor-Leste,1037.2
Brunei,1030.3
San Marino,999.5
Bhutan,994.7
Macau,988.6
